dataset_id,Dataset name
1,iNaturalist research-grade observations
2,GBIF MammalNet
3,Data collected on citizen science web portal www.ornitho.cat
4,Lista de observaciones de carnívoros terrestres en las Illes Balears
5,Study of young rehabilitated harbour seal in the north of France
6,Habitats Directive Portuguese Report: Species 2007-2012
7,Habitats Directive Portuguese Report: Species 2013-2018
8,BACO-MAMMALS
9,Museu de Ciències Naturals de Barcelona: MCNB-Cord
10,Museu de Ciències Naturals de Barcelona: MCNB-Tissue
11,Dades de diversos estudis i autors/es integrades al Sistema d'Informació del Montseny (SIMSY) del Parc Natural
12,BioDiversity4All Research-grade Observations
13,MapVisual
14,Vertebrate observation dataset of North and West Africa (CIBIO-Biodeserts)
15,National census of the Iberian wolf 2002-2003 - Packs
